Primitive 0: brush_idx=0, t=[615,200], theta=174.20278199800737, color=[0.09651086,0.13072991,0.14511287]
Primitive 1: brush_idx=0, t=[240,370], theta=138.2688726848999, color=[0.12175445,0.11241971,0.14741841]
Primitive 2: brush_idx=0, t=[347,384], theta=72.3030458400652, color=[0.10256992,0.12732182,0.15180647]
Primitive 3: brush_idx=0, t=[458,362], theta=79.29451424989713, color=[0.1419557,0.11854072,0.17199127]
Primitive 4: brush_idx=0, t=[149,218], theta=147.23387819738772, color=[0.28839046,0.11189101,0.03776186]
Primitive 5: brush_idx=0, t=[282,168], theta=110.0542373836657, color=[0.32572147,0.12428853,0.036959574]
Primitive 6: brush_idx=0, t=[553,254], theta=160.38844594282395, color=[0.13055116,0.18085572,0.21349995]
Primitive 7: brush_idx=0, t=[216,217], theta=129.92520166207765, color=[0.28316867,0.14857753,0.08733619]
Primitive 8: brush_idx=0, t=[79,59], theta=41.13662661841976, color=[0.24296789,0.056211695,0.20939927]
Primitive 9: brush_idx=0, t=[129,387], theta=128.93051773999449, color=[0.19374493,0.15211159,0.24204013]
Primitive 10: brush_idx=0, t=[374,218], theta=153.99416735111998, color=[0.13457729,0.18139178,0.18765222]
Primitive 11: brush_idx=0, t=[32,221], theta=218.3998231209871, color=[0.38814202,0.15958346,0.050350484]
Primitive 12: brush_idx=0, t=[512,361], theta=143.07633379834056, color=[0.19937328,0.14960745,0.2555439]
Primitive 13: brush_idx=0, t=[412,177], theta=157.8869093690789, color=[0.19454683,0.19374523,0.19677827]
Primitive 14: brush_idx=0, t=[606,123], theta=184.87197552912957, color=[0.19838506,0.18279772,0.32444537]
Primitive 15: brush_idx=0, t=[591,368], theta=113.69502960062245, color=[0.22162814,0.15512598,0.2753192]
Primitive 16: brush_idx=0, t=[118,281], theta=22.3882768808323, color=[0.22961181,0.1664765,0.26824862]
Primitive 17: brush_idx=0, t=[257,310], theta=201.88972240706883, color=[0.22185275,0.17768866,0.31824017]
Primitive 18: brush_idx=0, t=[83,119], theta=175.32589228720963, color=[0.43672457,0.15588808,0.16543858]
Primitive 19: brush_idx=0, t=[150,60], theta=158.44232958466506, color=[0.3652675,0.14937922,0.33937052]
Primitive 20: brush_idx=0, t=[386,352], theta=83.22413884857028, color=[0.20060971,0.17541797,0.26347864]
Primitive 21: brush_idx=0, t=[618,298], theta=218.13559851465482, color=[0.22606781,0.19104476,0.28018153]
Primitive 22: brush_idx=0, t=[27,319], theta=108.37064885212732, color=[0.31559682,0.22095172,0.37964106]
Primitive 23: brush_idx=0, t=[490,189], theta=102.74463654241748, color=[0.2753978,0.3063107,0.34048826]
Primitive 24: brush_idx=0, t=[303,257], theta=25.81975502934069, color=[0.31570438,0.27852395,0.41241378]
Primitive 25: brush_idx=0, t=[159,157], theta=150.47154340958022, color=[0.6194774,0.33278394,0.13982348]
Primitive 26: brush_idx=0, t=[152,358], theta=95.10480428495951, color=[0.2519376,0.24133365,0.32588518]
Primitive 27: brush_idx=0, t=[340,134], theta=169.5288494917973, color=[0.4759474,0.2852516,0.23800214]
Primitive 28: brush_idx=0, t=[597,32], theta=132.2542205034991, color=[0.23097585,0.24249806,0.7773084]
Primitive 29: brush_idx=0, t=[281,363], theta=108.66103794891173, color=[0.2573985,0.2218318,0.31170616]
Primitive 30: brush_idx=0, t=[214,52], theta=123.51776477415991, color=[0.41439202,0.2412829,0.52634573]
Primitive 31: brush_idx=0, t=[444,265], theta=57.128191339868124, color=[0.36216465,0.3437896,0.50758535]
Primitive 32: brush_idx=0, t=[625,373], theta=70.74769253811516, color=[0.33660474,0.23767553,0.3928849]
Primitive 33: brush_idx=0, t=[57,211], theta=108.11979056175412, color=[0.46892527,0.26129907,0.114998505]
Primitive 34: brush_idx=0, t=[15,36], theta=99.6347385787518, color=[0.37700763,0.09830208,0.24949019]
Primitive 35: brush_idx=0, t=[321,299], theta=124.91071543146582, color=[0.40376487,0.26680416,0.4734766]
Primitive 36: brush_idx=0, t=[216,169], theta=252.25170471542327, color=[0.46820894,0.2259929,0.10307243]
Primitive 37: brush_idx=0, t=[268,38], theta=183.10852895530962, color=[0.42989156,0.29929724,0.6629532]
Primitive 38: brush_idx=0, t=[57,384], theta=147.0859472304887, color=[0.28782296,0.2524806,0.41818523]
Primitive 39: brush_idx=0, t=[546,166], theta=220.166736796546, color=[0.29423884,0.3213799,0.368859]
Primitive 40: brush_idx=0, t=[603,207], theta=67.3220815115754, color=[0.17530192,0.26578313,0.27049026]
Primitive 41: brush_idx=0, t=[509,303], theta=47.625064996355036, color=[0.43223152,0.3211235,0.51620114]
Primitive 42: brush_idx=0, t=[182,360], theta=139.67022460540866, color=[0.26925683,0.22267282,0.31298146]
Primitive 43: brush_idx=0, t=[92,14], theta=134.94934686163776, color=[0.41850197,0.11724968,0.33660993]
Primitive 44: brush_idx=0, t=[416,395], theta=12.387934870080963, color=[0.17531784,0.22732826,0.24504013]
Primitive 45: brush_idx=0, t=[200,260], theta=131.44402059646208, color=[0.3135453,0.31085333,0.3822287]
Primitive 46: brush_idx=0, t=[383,98], theta=41.65986465665682, color=[0.41437134,0.4652497,0.7083531]
Primitive 47: brush_idx=0, t=[625,39], theta=165.06622117365964, color=[0.34997988,0.3355971,0.80830324]
Primitive 48: brush_idx=0, t=[509,56], theta=179.90183038915632, color=[0.4111438,0.63359904,0.9200813]
Primitive 49: brush_idx=0, t=[482,385], theta=69.83868395380358, color=[0.21092494,0.21530786,0.24910064]
Primitive 50: brush_idx=0, t=[375,24], theta=204.05910976925216, color=[0.5154408,0.46032518,0.80163634]
Primitive 51: brush_idx=0, t=[116,134], theta=84.27341595460294, color=[0.62076885,0.2672919,0.24431048]
Primitive 52: brush_idx=0, t=[513,377], theta=111.09814063642635, color=[0.24321309,0.1981374,0.29201335]
Primitive 53: brush_idx=0, t=[625,195], theta=215.04848779947102, color=[0.14915304,0.1777266,0.18668655]
Primitive 54: brush_idx=0, t=[625,233], theta=155.15078902470887, color=[0.20706305,0.3039352,0.31351095]
Primitive 55: brush_idx=0, t=[453,144], theta=53.39883934523731, color=[0.34537002,0.36442372,0.4482184]
Primitive 56: brush_idx=0, t=[210,105], theta=106.61968563437134, color=[0.59992564,0.30555207,0.49526945]
Primitive 57: brush_idx=0, t=[57,293], theta=105.34458659621123, color=[0.3849537,0.26326028,0.37104276]
Primitive 58: brush_idx=0, t=[525,90], theta=81.42423837459218, color=[0.515724,0.7869122,0.95120764]
Primitive 59: brush_idx=0, t=[271,184], theta=96.76963064495095, color=[0.4551873,0.21530196,0.097240336]
Primitive 60: brush_idx=0, t=[610,395], theta=84.86260463762454, color=[0.30611494,0.20695344,0.37149394]
Primitive 61: brush_idx=0, t=[391,304], theta=236.4357033163245, color=[0.36328956,0.253057,0.4444157]
Primitive 62: brush_idx=0, t=[66,214], theta=211.6788856487439, color=[0.5638514,0.35129628,0.19071479]
Primitive 63: brush_idx=0, t=[539,368], theta=155.6195659165202, color=[0.28924516,0.22897108,0.35689804]
Primitive 64: brush_idx=0, t=[296,84], theta=198.11650072595793, color=[0.578498,0.46238822,0.765252]
Primitive 65: brush_idx=0, t=[252,381], theta=59.20078151104768, color=[0.19768506,0.18765448,0.23039359]
Primitive 66: brush_idx=0, t=[125,224], theta=159.55056963935462, color=[0.4853621,0.21692963,0.106427684]
Primitive 67: brush_idx=0, t=[81,13], theta=91.05219985730184, color=[0.36220765,0.13503173,0.3223369]
Primitive 68: brush_idx=0, t=[351,151], theta=116.0527367664952, color=[0.44700316,0.23316775,0.17187716]
Primitive 69: brush_idx=0, t=[625,381], theta=149.30649462640204, color=[0.30801728,0.22371978,0.36472255]
Primitive 70: brush_idx=0, t=[416,85], theta=138.36392815256013, color=[0.5539883,0.7655887,0.9044052]
Primitive 71: brush_idx=0, t=[133,46], theta=170.80364845968995, color=[0.41627863,0.14305401,0.42809677]
Primitive 72: brush_idx=0, t=[589,81], theta=59.500476784522334, color=[0.38225484,0.52788657,0.8706276]
Primitive 73: brush_idx=0, t=[463,5], theta=178.9960261648148, color=[0.5404421,0.4881001,0.8767516]
Primitive 74: brush_idx=0, t=[449,285], theta=203.48746339975924, color=[0.35893252,0.29816666,0.45162973]
Primitive 75: brush_idx=0, t=[373,316], theta=129.92188443898704, color=[0.3571294,0.24409719,0.41679984]
Primitive 76: brush_idx=0, t=[33,361], theta=140.07493507817554, color=[0.3672329,0.26320997,0.46606487]
Primitive 77: brush_idx=0, t=[160,128], theta=182.7819366875453, color=[0.5592451,0.22397877,0.26411635]
Primitive 78: brush_idx=0, t=[168,0], theta=125.65493118909527, color=[0.46214384,0.18169561,0.38115728]
Primitive 79: brush_idx=0, t=[360,359], theta=91.08378940624321, color=[0.25718206,0.22457503,0.29320478]
Primitive 80: brush_idx=0, t=[625,24], theta=89.21099817745443, color=[0.29279798,0.26404947,0.82809025]
Primitive 81: brush_idx=0, t=[625,151], theta=152.41170655018652, color=[0.1934724,0.2106033,0.29264256]
Primitive 82: brush_idx=0, t=[171,357], theta=64.74155220527095, color=[0.24948125,0.22252017,0.3080512]
Primitive 83: brush_idx=0, t=[41,395], theta=87.89176745459658, color=[0.2982314,0.22658521,0.390196]
Primitive 84: brush_idx=0, t=[271,0], theta=103.52736309339224, color=[0.5945998,0.22597589,0.5199941]
Primitive 85: brush_idx=0, t=[280,367], theta=130.93668159578107, color=[0.25801757,0.22987643,0.32340497]
